"Latitude","Longitude"
40.7736045,-73.9580638
40.77057005,-73.9631964047366
40.77619195,-73.9485809062409
40.75797185,-73.9605584037143
40.7723944,-73.9472331427023
40.7684847,-73.958014
40.7694511,-73.9676099
40.7710532,-73.9596512
40.7815749,-73.955886
40.7873552,-73.971878
40.776586,-73.9859919358316
40.7839649,-73.9521464
40.7852081,-73.979374
40.77470035,-73.9527171485064
40.7799481,-73.9590317
40.7657875,-73.9588973
40.78406,-73.9816857302677
40.7566813,-73.9611629
40.74123595,-73.356691165361
40.7531948,-73.9677837501302
40.76200775,-73.9584933704893
40.7801206,-73.9553186
40.7921862,-73.968019
40.7675548,-73.95591
40.7979529,-73.960462599568
40.7698299,-73.9511794
40.7810947,-73.958964
40.772876,-73.9575297477888
40.773461,-73.9596923
40.7723018,-73.9529946
40.7789458,-73.9577935
40.7794849,-73.9612809
40.773548,-73.9497681
40.75719355,-73.9610927190957
40.7866246,-73.9792791
40.7698299,-73.9511794
40.7729754,-73.9639307
40.71360755,-74.007865158391
40.7701955,-73.9620751
40.7883414,-73.975984013038
40.7902699,-73.9659172
40.7918062,-73.9380871
40.7814665,-73.9817215299095
40.7785872,-73.9580765
40.77470035,-73.9527171485064
40.80079895,-73.94322485
40.7662148,-73.9599121
40.7801311,-73.9475159
40.7584285,-73.9606336
40.7732898,-73.9464005800901
40.773993,-73.9542491
40.6501038,-73.9495823
40.78103805,-73.9576781821499
40.7873376,-73.9779466
40.7217325,-74.0115641
40.7674946,-73.9536296
40.7810106,-73.9768241023547
40.7862271,-73.9719834
40.7834353,-73.9572493
40.68365575,-73.9999478488268
40.7814665,-73.9817215299095
40.7650831,-73.9619934
40.7835549,-73.9797034
40.7745105,-73.9839956
40.7711572,-73.9646368932728
40.7629149,-73.9817794
40.77602125,-73.956831409546
40.7575454,-73.9646233625653
40.8076958,-73.9295469
40.7698366,-73.9176431
40.8076958,-73.9295469
