"Latitude","Longitude"
40.7804136,-73.9472011859541
40.7753601,-73.9453709
40.7857941,-73.955381
40.7769326,-73.9558556
40.76428785,-73.965760534249
40.7751748,-73.9290481
40.7582618,-73.9623943
40.7762694,-73.9472234
40.7800661,-73.957596
42.7976632,-73.9527343
42.7976632,-73.9527343
40.7800238,-73.9562140892631
40.7589481,-73.9771802
40.7759238,-73.9531654
40.7775681,-73.9553544
40.73729355,-73.9951515599273
40.76974605,-73.9589920063426
40.7590843,-73.9658854984473
40.7796941,-73.9875484065217
40.7796941,-73.9875484065217
40.78103915,-73.9599623235533
40.7602853,-73.9640652
40.77473865,-73.9518039
40.765226,-73.922741
40.7801311,-73.9475159
40.7823868,-73.9568218
40.7631512,-73.9629009
40.8437553,-73.834843
40.7772202,-73.9618829
40.7856205,-73.9546485
40.7639523,-73.9601119664016
40.759358,-73.873566
40.81784135,-73.9432707718584
40.79224195,-73.9666787236618
40.7613866,-73.9148269
40.7801354,-73.9592219
40.8478944,-73.9409264214751
40.83732915,-73.9240743945226
