"","Shirt","Sweatshirt","Pants","Shoes"
"2 Years","{{""Large"", 4}, {""XXL"", 1}, {""Medium"", 7}, {""Women's Medium"", 1}, {""Medium\nLarge"", 1}, {""Small"", 1}, {""XLarge"", 3}, {""Small\nMedium"", 1}}","{{""Large"", 5}, {""XLarge\nXXL"", 1}, {""Medium"", 8}, {""Women's Medium"", 1}, {""Small"", 1}, {""XLarge"", 3}}","{{""Large"", 7}, {""XLarge\nXXL"", 1}, {""Medium"", 8}, {""Women's Large"", 1}, {""Medium\nLarge"", 1}, {""XLarge"", 1}}","{{11, 2}, {12, 2}, {10, 1}, {5.5, 1}, {9.5, 1}, {9, 3}, {""Women's 9.5"", 1}, {10.5, 2}, {14, 2}, {7, 1}, {13, 1}, {""Women’s 6.5"", 1}, {11.5, 1}}"
"6 Months","{{""Women's Medium"", 3}, {""Women's Small"", 3}, {""Medium\nLarge"", 2}, {""Medium"", 1}, {""XLarge"", 3}, {""Women's XLarge"", 1}}","{{""Women's Large"", 2}, {""Women's Small"", 1}, {""Medium\nLarge"", 2}, {""Women's Medium"", 3}, {""Medium"", 1}, {""XLarge"", 3}, {""Women's XLarge"", 1}}","{{""Women's Small"", 3}, {""Medium\nLarge"", 2}, {""Women's Medium"", 3}, {""Medium"", 1}, {""XLarge"", 3}, {""Women's XLarge"", 1}}","{{""Women’s 9"", 1}, {9, 2}, {12, 4}, {""Women's 9"", 1}, {""Women's 6.5"", 1}, {""Women's 7"", 1}, {""Women's 8"", 1}, {15, 1}, {""Women's 9.5"", 1}}"
"Under 6 Months","{{""Large"", 1}, {""XXL"", 1}, {""Women's Small"", 1}, {""XLarge"", 1}, {""Women's XXXL"", 1}}","{{""Large"", 1}, {""XXL"", 1}, {""Women's Small"", 1}, {""XLarge"", 1}, {""Women's XXXL"", 1}}","{{""Large"", 1}, {""XXL"", 1}, {""Women's Small"", 1}, {""XLarge"", 1}, {""Women's XXL"", 1}}","{{12, 2}, {15, 1}, {""Women's 7"", 1}, {""Women's 8"", 1}}"
"1 Year","{{""Medium"", 2}, {""Large"", 7}, {""XLarge"", 1}, {""Small"", 1}, {"""", 1}}","{{""Medium"", 2}, {""Large"", 7}, {""XLarge"", 1}, {""Small"", 1}, {"""", 1}}","{{""Medium"", 2}, {""Large"", 6}, {""XLarge"", 2}, {""Small"", 1}, {"""", 1}}","{{10, 2}, {12, 1}, {13, 3}, {11, 1}, {9, 1}, {10.5, 1}, {11.5, 1}, {8.5, 1}, {"""", 1}}"
"1.5 Years","{{""Women's Large"", 1}}","{{""Women's Medium"", 1}}","{{""Women's Small"", 1}}","{{8, 1}}"
