"Before","After"
8,17
27,17
12,22
20,10
15,23
26,18
13,17
27,12
6,23
12,17
18,24
13,16
11,15
16,15
8,16
20,10
15,18
15,18
12,18
16,13
8,25
20,9
11,17
24,13
16,18
16,7
13,""
26,""
12,""
21,""
8,""
22,""
12,""
20,""
15,""
18,""
17,""
24,""
13,""
23,""
15,""
17,""
14,""
26,""
12,""
27,""
13,""
18,""
13,""
18,""
11,""
17,""
19,""
