ID,Name,Flags,Season
6739,(ETA & PLAY) Sunday 11:00am-12:30pm | Ages 14+,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6738,(ETA & PLAY) Sunday 9:30am-11:00am | Ages 11-13,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6732,(ETA) Tuesday 6:00pm-7:00pm | Ages 9-11,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6733,(ETA) Tuesday 7:00pm-8:00pm | Ages 11-13,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6734,(ETA) Tuesday 8:00pm-9:00pm | Ages 13-17,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6735,(ETA) Wednesday 6:00pm-7:00pm | Ages 9-11,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6736,(ETA) Wednesday 7:00pm-8:00pm | Ages 11-13,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6737,(ETA) Wednesday 8:00pm-9:00pm | Ages 13-17,Future,24-FA Elite Basketball Training Academy (3rd-11th)
6727,[Hustle-AS] Mon 6:00pm - 7:00pm (3rd-5th),Future,24-FA Hustle Basketball Classes (K-8th)
6728,[Hustle-AS] Mon 7:00pm - 8:00pm (6th-8th),Future,24-FA Hustle Basketball Classes (K-8th)
6613,[Hustle-AS] Thurs 6:00pm-7:00pm (3rd-5th),Future,24-FA Hustle Basketball Classes (K-8th)
6614,[Hustle-AS] Thurs 7:00pm-8:00pm (6th-8th),Future,24-FA Hustle Basketball Classes (K-8th)
6615,[Hustle-AS] Tues 6:00pm - 7:00pm (3rd-5th),Future,24-FA Hustle Basketball Classes (K-8th)
6616,[Hustle-AS] Tues 7:00pm - 8:00pm (6th-8th),Future,24-FA Hustle Basketball Classes (K-8th)
6617,[Hustle-FB] Fri 3:50pm-4:50pm (1st-3rd),Future,24-FA Hustle Basketball Classes (K-8th)
6776,[Priv. Lady Irish-FB] Fri 6:00-7:15 pm (6th),Future,24-FA Hustle Basketball Classes (K-8th)
6740,[RAMAZ 5th/6th] Basketball Fridays 1:30PM-2:30PM,Future,2024/2025 Ramaz Club - After School Sports
6742,[RAMAZ 5th/6th] Basketball Fridays 1:30PM-2:30PM,Future,2024/2025 Ramaz Club - After School Sports
6741,[RAMAZ 7th/8th] Basketball Fridays 2:35PM-3:35PM,Future,2024/2025 Ramaz Club - After School Sports
6743,[RAMAZ 7th/8th] Basketball Fridays 2:35PM-3:35PM,Future,2024/2025 Ramaz Club - After School Sports
6610,[HUSTLE] Hoop Academy Sat 1:30-2:45pm (7th/8th),Future,24-FA Hustle Hoop Academy (Girls 2nd-7th)
6611,[HUSTLE] Hoop Academy Sat 3:00pm-4:15pm (2nd-4th),Future,24-FA Hustle Hoop Academy (Girls 2nd-7th)
6612,[HUSTLE] Hoop Academy Sat 4:30-5:45pm (5th/6th),Future,24-FA Hustle Hoop Academy (Girls 2nd-7th)
