"ID","Name","Flags","Time of dayTime of day","Day of the WeekDay of the Week","Size / CapacitySize / Capacity","Age Restrictions","Age Group","Wait","Start Date","Season","Level","Time of Year"
"6659","[CHEER] Cheer Sat 10:00am (Ages 4-5)","Future","10:00am","Sa","1            of 12","2y 9m - 6y 6m","U-6","0","Sat 09/07/2024","24-FA Cheer & Dance (Ages 1+)","Cheer & Pom Fusion (Age 3-6)","Fall"
"6771","[CHEER] Friday 10:15am-11:00am (Age 2)","Future","10:15am","F","0            of 12","2y 0m - 3y 3m","U-2","0","Fri 09/13/2024","24-FA Cheer & Dance (Ages 1+)","Time 2 Cheer (Age 2)","Fall"
"6653","[CHEER] Friday 4:05pm - 5:00pm (K-1)","Future","04:05pm","F","5            of 14","3y 0m - 13y 0m","Youth","0","Fri 09/13/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6655","[CHEER] Friday 4:35pm - 5:30pm (3rd/4th)","Future","04:35pm","F","6            of 10","3y 0m - 13y 0m","Youth","0","Fri 09/13/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6768","[CHEER] Friday 9:30am-10:10am (Age 1)","Future","09:30am","F","0            of 12","0y 8m - 2y 0m","U-1","0","Fri 09/13/2024","24-FA Cheer & Dance (Ages 1+)","1 Step at a Time (Age 1)","Fall"
"6769","[CHEER] Monday 10:15am-11:00am (Age 2)","Future","10:15am","M","0            of 12","2y 0m - 3y 3m","U-2","0","Mon 09/09/2024","24-FA Cheer & Dance (Ages 1+)","Time 2 Cheer (Age 2)","Fall"
"6767","[CHEER] Monday 9:30am-10:10am (Age 1)","Future","09:30am","M","0            of 12","0y 8m - 2y 0m","U-1","0","Mon 09/09/2024","24-FA Cheer & Dance (Ages 1+)","1 Step at a Time (Age 1)","Fall"
"6793","[CHEER] Sunday 10:00am - 10:50am (K-1)","Future","10:00am","S","4            of ∞","3y 0m - 13y 0m","Youth","0","Sun 09/08/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6774","[CHEER] Thurs 10:15am-11:00am (Age 3 & 4's)","Future","10:15am","Th","1            of 12","2y 8m - 5y 3m","U-4","0","Thu 09/05/2024","24-FA Cheer & Dance (Ages 1+)","3 Cheers 4 You (Age 3 & 4's)","Fall"
"6773","[CHEER] Tues 10:15am-11:00am (Age 3 & 4's)","Future","10:15am","T","0            of 12","2y 8m - 5y 3m","U-4","0","Tue 09/17/2024","24-FA Cheer & Dance (Ages 1+)","3 Cheers 4 You (Age 3 & 4's)","Fall"
"6770","[CHEER] Wednesday 10:15am-11:00am (Age 2)","Future","10:15am","W","1            of ∞","2y 0m - 3y 3m","U-2","0","Wed 09/18/2024","24-FA Cheer & Dance (Ages 1+)","Time 2 Cheer (Age 2)","Fall"
"6777","[FB] Multi-Sport Fridays 10:15am-11:00am (Age 2)","Future","10:15am","F","1            of 12","1y 10m - 3y 5m","U-6","0","Fri 09/06/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 2","Fall"
"6778","[FB] Multi-Sport Mon 10:15am-11:00am (Age 2)","Future","10:15am","M","8            of 10","1y 10m - 3y 5m","U-6","0","Mon 09/09/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 2","Fall"
"6779","[FB] Multi-Sport Sun 9:00am-9:50am (Ages 2)","Future","09:00am","S","4            of 10","1y 10m - 3y 5m","U-2","0","Sun 09/08/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 2","Fall"
"6783","[FB] Multi-Sport Sun 9:00am-9:50am (Ages 3 - 5)","Future","09:00am","S","1            of 12","3y 0m - 6y 6m","U-6","0","Sun 09/08/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 3-5","Fall"
"6784","[FB] Multi-Sport Thurs 3:00pm-3:45pm (Ages 3 - 5)","Full Future","03:00pm","Th","12            of 12","3y 0m - 6y 6m","U-6","2","Thu 09/05/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 3-5","Fall"
"6780","[FB] Multi-Sport Thursday 10:15am-11:00am (Age 2)","Future","10:15am","Th","3            of 12","1y 10m - 3y 5m","U-6","0","Thu 09/05/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 2","Fall"
"6786","[FB] Multi-Sport Thursday 10:15am-11:00am (Age 3)","Future","10:15am","Th","1            of 12","3y 0m - 4y 5m","U-3","0","Thu 09/05/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 3-4","Fall"
"6785","[FB] Multi-Sport Tues 3:00pm-3:45pm (Ages 3 - 5)","Future","03:00pm","T","12            of 15","3y 0m - 6y 6m","U-6","0","Tue 09/03/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 3-5","Fall"
"6781","[FB] Multi-Sport Tuesday 10:15am-11:00am (Age 2)","Future","10:15am","T","5            of 12","1y 10m - 3y 5m","U-6","0","Tue 09/03/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 2","Fall"
"6787","[FB] Multi-Sport Tuesday 10:15am-11:00am (Age 3)","Future","10:15am","T","1            of 10","3y 0m - 4y 5m","U-4","0","Tue 09/03/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 3-4","Fall"
"6782","[FB] Multi-Sport Wed 10:15am-11:00am (Age 2.5-3.5)","Future","10:15am","W","1            of 12","1y 10m - 3y 5m","U-6","0","Wed 09/04/2024","24-FA KIDS Multi-Sport Classes (Ages 1-6)","Multi-Sport Age 2","Fall"
"6675","[GAME-ON] Monday 3:50pm-4:50pm (2nd-4th)","Future","03:50pm","M","11            of 22","7y 0m - 13y 0m","U-10","0","Mon 09/09/2024","24-FA Basketball Classes (PreK - 5th)","Game-On Gameplay","Fall"
"6676","[GAME-ON] Thursday 4:55pm-5:55pm (2nd - 4th)","Future","04:55pm","Th","8            of 22","7y 0m - 13y 0m","U-10","0","Thu 09/05/2024","24-FA Basketball Classes (PreK - 5th)","Game-On Gameplay","Fall"
