"DirectedEdge[{5586033615630, 3, 1}, {5586162755793, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5554780101861, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586159567147, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161163657, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161165844, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161220519, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161279568, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586162755793, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {7280738380356, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554520227212, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554521823722, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554521825909, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554521880584, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554521939633, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554523415858, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554526604504, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554531387473, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5554780101861, 3, 1}]"
"DirectedEdge[{5554521821535, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554520227212, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554649369562, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554649371749, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554649426424, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554649485473, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554652556021, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554654150344, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554658933313, 3, 1}]"
"DirectedEdge[{5554649367375, 3, 1}, {5554778507538, 3, 1}]"
