"x","y"
779.9732526393142,484.50071593386497
786.,414.
805.77639320225,367.44721359549993
839.4287464628563,327.7427521222863
864.640505811975,310.65248895157674
915.4995253952773,297.97821974579836
979.4961389383568,307.9379826327054
1031.2236067977499,342.4472135955
1065.2620487128322,382.4258291583522
1088.5,427.00000000000165
1094.0126010383683,465.49984118861096
1089.3274652692096,542.3778445413943
1064.2940858488375,594.5956319578484
1032.7315622539036,623.4218307438662
991.,642.
925.7519305308219,647.4341215710624
876.4472135955,627.22360679775
842.5,604.9999999999995
810.4472135955,569.2236067977498
789.,521.5
781.2480694691791,491.5658784289381
