"x","y"
1266.1436739427832,641.4789131426106
1318.5,660.
1422.0760285921272,724.5058141511747
1498.5610522135428,769.7605739346598
1590.691089224034,838.6068408305888
1556.5012706500847,884.964376475006
1409.5097096621546,852.9019419324309
1186.330810818542,810.6250810723162
1009.3200921998341,793.6158893602029
805.0000000000002,778.4999999999998
660.4998114217974,769.9862689169836
531.4807619738203,792.8626394360509
414.7605739346597,735.5610522135428
412.1581138830084,637.4743416490253
519.7226499018873,569.4160251471689
656.4813254700771,515.1353727884588
875.445453073451,539.2270937237201
980.9999999999998,562.5
1041.353553390593,574.3535533905934
1175.0999999999995,617.3999999999997
1265.5,642.
