"x","y"
584.0138835336202,599.5001927896736
591.0821994936526,555.506803038084
639.6221554586051,473.3274652692089
657.0000000000001,454.50000000000006
692.5558911784219,430.77028854056323
748.4341215710623,422.75193053082165
807.7226499018872,429.5839748528312
844.8915347710906,444.511906469908
883.2451306198162,481.4357877685623
907.4931969619159,538.0821994936533
911.0264605645048,583.5007006523876
905.2703787956568,612.4205892376882
884.0821994936526,662.506803038084
860.7226499018875,693.416025147169
825.6464466094069,721.3535533905934
790.518241045185,735.1338219318931
730.0000000000005,742.4999999999999
694.493196961916,736.0821994936526
651.1212678125181,714.4850712500727
602.8418861169916,666.5256583509747
585.7392749952727,612.4266409168258
