"x","y"
388.2692307692308,429.9230769230769
483.0000000000018,402.5
611.500527150943,401.02295371548973
699.4205892376884,385.2703787956565
922.0000000000003,372.49999999999994
987.4160251471689,345.27735009811266
1193.5610522135428,345.23942606534047
1365.6,400.2999999999997
1479.4833526139307,489.12794628015826
1561.9228115598632,552.4940060168756
1541.3,673.6
1415.4846153846154,718.1230769230768
1262.5,654.0000000000002
1154.0000000000005,604.5
1107.5,593.
1015.5256583509748,577.1581138830085
929.502481404895,545.9502481404895
819.4969418673368,530.0552157630374
635.481758954815,483.86617806810693
535.5003995206391,458.98001598082556
394.5149287499273,431.87873218748183
