"x","y"
225.9682340644004,550.5010100949563
233.58397485283098,455.7226499018875
323.4889012070387,396.8952354556346
447.49319696191606,417.9178005063473
523.4318894504493,467.25193551276203
632.5,498.
763.502481404895,513.9502481404895
876.495373697714,543.9321405893543
1042.5058141511747,581.9239714078731
1192.9999999999998,622.5000000000001
1344.4807619738203,650.1373605639487
1462.4743416490253,672.1581138830081
1418.3640999963466,730.3426823495023
1231.3535533905933,766.6464466094068
1077.500163808937,787.0127977382253
875.5308284415914,777.1728526794137
732.5017271208776,753.0415227399269
601.3295513161474,751.3760265017595
460.5008628134125,731.9706389890245
308.77639320225006,629.5527864045
228.64644660940672,562.3535533905933
