"x","y"
509.5000000000001,367.0000000000004
559.77639320225,193.44721359549996
668.373704659342,181.33218191941472
687.4068667356033,259.29061909685953
921.0000000000006,330.5
1078.2999999999995,480.5999999999998
1183.9999999999995,569.5
1266.3,662.4
1216.9833425848838,712.4997224534895
1261.739274995273,775.426640916826
1359.8571428571424,875.1428571428568
1446.3020833333337,985.9791666666666
1324.,925.
1190.4,847.3
1032.4075902041332,743.2896035660946
849.9547321269788,615.5020533967661
725.4341215710621,515.7519305308214
548.5256583509747,434.15811388300847
1262.6821463735694,503.38596511780844
1307.506803038084,485.9178005063473
1286.5285048332084,532.8335899411325
