"x","y"
1640.,660.5
1655.5047538634112,694.0687841856374
1457.999999999994,692.5000000000009
1262.9999999999977,700.5
1044.4998269596765,710.9868466589559
828.0000000000009,712.5
693.6676216466819,716.6264700410334
602.0000000000002,749.5
467.24806946917846,732.4341215710622
403.8244382792058,658.5318354112155
421.22360679775016,556.4472135954999
527.3535533905932,503.35355339059333
635.4823819106189,453.8684412971039
793.5000713187409,430.9915552587625
926.4595725150091,456.19695964928957
992.4999517816673,452.00694377474537
1147.4539796922502,459.20952908873085
1309.5318354112155,484.8244382792058
1493.5527864045,556.77639320225
1580.5527864045,600.77639320225
1641.,653.5
