"Latitude","Longitude"
40.776014,-73.9478775
40.771109,-73.9600038
40.77221415,-73.9493898571934
40.7677468,-73.9558625
42.7976632,-73.9527343
40.7869779,-73.974057329423
40.7716788,-73.9894559530907
40.74123595,-73.356691165361
40.7629556,-73.9604866
40.7765778,-73.9601438
40.75904605,-73.9612404961352
40.7639362,-73.9641732
40.7796941,-73.9875484065217
40.790714,-73.9740281
40.7883414,-73.975984013038
40.7668164,-73.9593985
40.7670326,-73.9547407
40.7982705,-73.9525304
40.7773669,-73.9790823
40.7718633,-73.9815969
40.7864528,-73.9720934
40.8877461,-72.4083930661464
40.77167365,-73.9645718361437
44.5559005,-74.9385197
40.78892285,-73.980697593084
40.7754537,-73.9624503
40.7754537,-73.9624503
40.7971871,-73.9718112
40.7714212,-73.9500697
40.7661176,-73.9635644
40.7710532,-73.9596512
40.76898,-73.9544506
40.7749524,-73.9474083
40.7971871,-73.9718112
40.77619195,-73.9485809062409
40.7758108,-73.9635243
40.7329457,-74.0017612
40.78893295,-73.9676194730537
40.7905658,-73.9771201
40.78436525,-73.9819143515485
40.7898584,-73.9739339
40.78331165,-73.9771403456538
40.817353,-72.8828224912195
40.7786726,-73.9813311
40.8657156,-73.9182081
40.78689205,-73.9685708434663
40.8135743,-73.9580043
40.772391,-73.9591353
40.7898584,-73.9739339
40.7885846,-73.9766713
40.7836741,-73.9804367
40.78374595,-73.9804942791348
40.8262888,-73.8936081
40.7667625,-73.9531214
40.7826362,-73.9517509979861
40.7826362,-73.9517509979861
40.732972,-73.436465
40.7703352,-73.9517171
40.7726334,-73.9468301
40.7740598,-73.9815827286935
40.8401508,-73.8816816
40.77819395,-73.9571171885168
40.7677392,-73.9652365114595
40.744126,-73.906936
40.7751407,-73.9847291
40.8364365,-73.859147325873
40.77002215,-73.9525608469198
40.7786726,-73.9813311
40.6580717,-73.9378039
40.7830511,-73.9711777
40.7749524,-73.9474083
40.770704,-73.956839
40.7701955,-73.9620751
40.8491705,-73.8590369913418
40.8491705,-73.8590369913418
40.773548,-73.9497681
40.7716224,-73.9505671
40.7729428,-73.9616345636178
40.8412671,-73.9101385102809
40.699406,-73.839667277033
40.80731585,-73.9666926849812
40.7496364,-74.0281413
40.7758064,-73.9643812
40.6627,-73.61433
42.4686898,-75.0937755
40.745616,-74.002756
40.7908738,-73.9733123568182
40.913502,-73.842811
40.913502,-73.842811
40.7996816,-73.970198
40.7806414,-73.954515
40.7652874,-73.9612751
40.784345,-73.9538623
40.7950452,-73.9722207
40.7784036,-73.9879858193567
40.7729722,-73.9477013175447
40.7820286,-73.9814675
40.7698299,-73.9511794
40.7665241,-73.9606045
40.7709382,-73.9810764
40.7823306,-73.9510236
40.7572668,-73.9629554
40.800989,-73.9612711
40.7645196,-73.9661105
44.5559005,-74.9385197
40.78843515,-73.9463271105845
40.822277,-73.902438452565
40.78116515,-73.9482064535846
40.7745105,-73.9839956
40.79088,-73.9654746
40.7648427,-73.9672689608925
40.7898455,-73.9482655
40.7759238,-73.9531654
40.7749524,-73.9474083
40.78267725,-73.9800587515238
40.800846,-73.9693412
40.901388,-73.836231
40.824132,-73.940971
40.79342235,-73.9742625285473
40.7218931,-73.9797734568482
40.66710845,-73.9084488057777
40.773548,-73.9497681
40.7770308,-73.9592045
40.7583951,-73.9596947
40.77744785,-73.9562209193862
40.881968,-73.884692
40.7407575,-73.8511672845721
42.7976632,-73.9527343
40.7815656,-73.9463135
40.7742888,-73.9572899
40.778532,-73.9508185
40.7605804,-73.9587267
40.715241,-73.446747
40.763339,-73.9627907
40.7757736,-73.9514148462812
40.750708,-74.201601
40.7382953,-73.991751
40.9298203,-73.889848
40.9298203,-73.889848
40.715241,-73.446747
